Nome,País,Cidade,Ranking_Internacional,Linguas_Competencia,Taxas_Extras,Cursos_em_Ingles,Auxilio_Monetario,Auxilio_Moradia,Data_Inspecao,Link_Universidade
Universidade de Vigo,Espanha,Vigo,901,,"25,00 EUR",Não,Não,Parcial/Condicional,18/02/2025,https://www.uvigo.gal/en/international/mobility-programmes/students/incoming-student
Universitat Autònoma de Barcelona,Espanha,Barcelona,175,,"4,50 EUR",Parcial/Condicional,Não,Não,18/02/2025,https://www.uab.cat/web/mobility-international-exchange/international-support-service/international-students-1345819340463.html
Universitat de les Illes Balears,Espanha,Palma de Maiorca,,Espanhol B1,"1,12 EUR",Não,Não,Parcial/Condicional,18/02/2025,https://internacional.uib.cat/Estudiants-estrangers/
National Cheng Kung University,Taiwan,Tainan City,215,Inglês B2,"260,00 NT ",Sim,Não,Parcial/Condicional,19/02/2025,https://oia.ncku.edu.tw/p/404-1032-230512.php?Lang=en
University of the Philippines,Filipinas,Manila,336,Inglês B2,,Sim,Não,Parcial/Condicional,19/02/2025,https://oil.up.edu.ph/guidelines/student-exchange-guidelines/inbound/
Kajaani University of Applied Sciences,Finlandia,Kajaani,,,,Sim,Não,Parcial/Condicional,19/02/2025,https://kamk.fi/en/study-at-kamk/studying-at-kamk/
University of Jyväskylä,Finlandia,Jyväskylän yliopisto,489,,,Sim,Não,Parcial/Condicional,19/02/2025,https://www.jyu.fi/en/for-students/instructions-for-bachelors-and-masters-students/new-student-handbook
Institut National des Sciences Apppliquees de Lyon,França,Lyon,405,Frances B1 || Ingles B1,,Parcial/Condicional,Parcial/Condicional,Parcial/Condicional,19/02/2025,https://www.insa-lyon.fr/en/exchange-students
Sorbonne Université,França,Paris,63,Frances B1,,Não,Parcial/Condicional,Parcial/Condicional,19/02/2025,https://www.sorbonne-universite.fr/en/education/study-sorbonne-university
Université Paris 8,França,Paris,435,Frances B2,,Não,Parcial/Condicional,Parcial/Condicional,19/02/2025,https://www.univ-paris8.fr/en/-international-
Université Paris-Saclay,França,Paris,73,Frances B2,VRC,Não,Parcial/Condicional,Não,19/02/2025,https://www.universite-paris-saclay.fr/en/admissions/international-students
Università di Bologna,Italia,Bologna,133,,,Parcial/Condicional,Não,Parcial/Condicional,20/02/2025,https://www.unibo.it/en/study/international-experiences/incoming-exchange-students
Università degli Studi della Basilicata,Italia,Potenza,,Italiano B1,,Não,Não,Parcial/Condicional,20/02/2025,https://internazionale.unibas.it/site/home/notizie/articolo9501789.html
"Universitá degli Studi di Roma ""La Sapienza""",Italia,Roma,132,Italiano B2 || Ingles B2,,Parcial/Condicional,Parcial/Condicional,Parcial/Condicional,20/02/2025,https://www.uniroma1.it/en/pagina-strutturale/international
Università degli Studi di Trento,Italia,Trento,506,Italiano B2,,Parcial/Condicional,Não,Parcial/Condicional,20/02/2025,https://www.unitn.it/en/international/coming-unitrento
Universidad Autónoma de Ciudad Juárez,Mexico,Ciudad Juarez,,Espanhol B1,,Não,Parcial/Condicional,Não,20/02/2025,https://www.uacj.mx/internacionalizacion/index.html
Universidad Autónoma Metropolitana,Mexico,Cidade do Mexico,951,Espanhol B2,,Não,Não,Não,20/02/2025,https://vinculacion.uam.mx/postulacion_entrante.html
